ICAO_Code,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code
EBBR,BRUSSELS/BRUSSELS-NATIONAL,50.90138889,4.484444444,EB,Belgium,EBBR
ZUCK,CHONGQING/JIANGBEI,29.72,106.64,ZU,China,ZUCK
YMML,MELBOURNE,-37.67333333,144.8433333,YM,Australia,YMML
UUDD,MOSCOW/DOMODEDOVO,55.40861111,37.90638889,UU,Russian Federation,UUDD
ZSHC,HANGZHOU/XIAOSHAN,30.22833333,120.4333333,ZS,China,ZSHC
CYYC,"CALGARY INTL, AB",51.12261389,-114.0133472,CY,Canada,CYYC
ESSA,STOCKHOLM/ARLANDA,59.65194444,17.91861111,ES,Sweden,ESSA
RJAA,NARITA INTL,35.76527778,140.3855556,RJ,Japan,RJAA
LTFJ,ISTANBUL/SABIHA GOKCEN,40.89833333,29.30916667,LT,Türkiye,LTFJ
VTBD,BANGKOK/DON MUEANG INTL AIRPORT,13.91444444,100.6055556,VT,Thailand,VTBD
RCTP,TAIPEI/TAIWAN TAOYUAN INTERNATIONAL,25.08027778,121.2322222,RC,China,RCTP
KMEM,MEMPHIS INTL,35.04241111,-89.97667778,KM,United States,KMEM
CYUL,"MONTREAL/PIERRE ELLIOT TRUDEAU INTL,  QC",45.47046111,-73.74093056,CY,Canada,CYUL
EDDL,DUESSELDORF,51.280925,6.757311111,ED,Germany,EDDL
OEJN,JEDDAH/KING ABDULAZIZ INTERNATIONAL,21.68111111,39.15611111,OE,Saudi Arabia,OEJN
KDAL,DALLAS LOVE FIELD,32.84594444,-96.850875,KD,United States,KDAL
EIDW,DUBLIN,53.42138889,-6.27,EI,Ireland,EIDW
KPDX,PORTLAND INTL,45.58870833,-122.5968667,KP,United States,KPDX
PHNL,HONOLULU INTL,21.317825,-157.9202611,PH,United States,PHNL
SBSP,"SAO PAULO/CONGONHAS, SP",-23.62611111,-46.65638889,SB,Brazil,SBSP
YBBN,BRISBANE,-27.38416667,153.1175,YB,Australia,YBBN
KSAN,SAN DIEGO INTL,32.73355556,-117.1896667,KS,United States,KSAN
ZSAM,XIAMEN/GAOQI,24.545,118.1266667,ZS,China,ZSAM
KHOU,WILLIAM P HOBBY,29.64541667,-95.27883333,KH,United States,KHOU
LSGG,GENEVA,46.23833333,6.109444444,LS,Switzerland,LSGG
LEPA,PALMA DE MALLORCA,39.55166667,2.738888889,LE,Spain,LEPA
KTPA,TAMPA INTL,27.97547222,-82.53325,KT,United States,KTPA
PANC,TED STEVENS ANCHORAGE INTL,61.17408333,-149.9981361,PA,United States,PANC
EGCC,MANCHESTER,53.35388889,-2.275,EG,United Kingdom,EGCC
LTAI,ANTALYA (MIL-CIV),36.90027778,30.79277778,LT,Türkiye,LTAI
SBBR,"BRASILIA/PRES. JUSCELINO KUBITSCHEK, DF",-15.87111111,-47.91861111,SB,Brazil,SBBR
LGAV,ATHINAI/ELEFTHERIOS VENIZELOS,37.9367,23.9445,LG,Greece,LGAV
EGSS,LONDON STANSTED,51.885,0.235,EG,United Kingdom,EGSS
EFHK,HELSINKI-VANTAA (FINTRAFFIC ANS),60.31722222,24.96333333,EF,Finland,EFHK
KBNA,NASHVILLE INTL,36.124475,-86.67818056,KB,United States,KBNA
LPPT,LISBOA,38.77416667,-9.134166667,LP,Portugal,LPPT
ZHHH,WUHAN/TIANHE,30.785,114.2066667,ZH,China,ZHHH
KSTL,LAMBERT-ST LOUIS INTL,38.74869722,-90.37002778,KS,United States,KSTL
RJFF,FUKUOKA,33.58444444,130.4516667,RJ,Japan,RJFF
LIMC,MILANO/MALPENSA,45.63,8.723055556,LI,Italy,LIMC
OERK,RIYADH/KING KHALED INTERNATIONAL,24.96277778,46.70805556,OE,Saudi Arabia,OERK
ZSNJ,NANJING/LUKOU,31.74333333,118.8633333,ZS,China,ZSNJ
RJBB,KANSAI INTL,34.43416667,135.2327778,RJ,Japan,RJBB
ZWWW,URUMQI/DIWOPU,43.90833333,87.475,ZW,China,ZWWW
ZHCC,ZHENGZHOU/XINZHENG,34.51833333,113.84,ZH,China,ZHCC
OMAA,ZAYED INTERNATIONAL,24.43305556,54.65111111,OM,United Arab Emirates,OMAA
KOAK,METROPOLITAN OAKLAND INTL,37.72125,-122.2211389,KO,United States,KOAK
ZSQD,QINGDAO/JIAODONG,36.265,120.3733333,ZS,China,ZSQD
ZGCS,CHANGSHA CITY,28.05,112.9666667,ZG,China,ZGCS
KRDU,RALEIGH-DURHAM INTL,35.87763889,-78.78747222,KR,United States,KRDU
KIND,INDIANAPOLIS INTL,39.71730556,-86.29463889,KI,United States,KIND
KTEB,TETERBORO,40.85011111,-74.06083333,KT,United States,KTEB
EDDH,HAMBURG,53.63038889,9.988227778,ED,Germany,EDDH
KAUS,AUSTIN-BERGSTROM INTL,30.194525,-97.669875,KA,United States,KAUS
VOBL,"KEMPEGOWDA INTERNATIONAL AIRPORT, BENGALURU",13.19886944,77.70547778,VO,India,VOBL
WARR,SURABAYA/JUANDA,-7.380833333,112.7863889,WA,Indonesia,WARR
UUWW,MOSCOW/VNUKOVO,55.59916667,37.27305556,UU,Russian Federation,UUWW
KSDF,LOUISVILLE INTL-STANDIFORD FIELD,38.17408333,-85.73649722,KS,United States,KSDF
RJCC,SAPPORO/NEW CHITOSE,42.77527778,141.6925,RJ,Japan,RJCC
MMUN,CANCUN,21.04274167,-86.8732,MM,Mexico,MMUN
EPWA,CHOPINA W WARSZAWIE,52.16583333,20.96722222,EP,Poland,EPWA
KSAT,SAN ANTONIO INTL,29.53395556,-98.46905556,KS,United States,KSAT
NZAA,AUCKLAND INTL,-37.00805556,174.7916667,NZ,New Zealand,NZAA
HECA,CAIRO/INTL,30.11138889,31.41388889,HE,Egypt,HECA
RKPC,JEJU INTL,33.51222222,126.4927778,RK,Republic of Korea,RKPC
CYEG,"EDMONTON INTL, AB",53.30988333,-113.5794944,CY,Canada,CYEG
LFMN,NICE-COTE D'AZUR,43.66527778,7.215,LF,France,LFMN
MPTO,TOCUMEN,9.072152778,-79.38333056,MP,Panama,MPTO
KSJC,NORMAN Y. MINETA SAN JOSE INTL,37.36299444,-121.9286194,KS,United States,KSJC
KCVG,CINCINNATI/NORTHERN KENTUCKY INTL,39.04883611,-84.66782222,KC,United States,KCVG
RJOO,OSAKA INTL,34.78444444,135.4391667,RJ,Japan,RJOO
RKSS,GIMPO INTL,37.55694444,126.7975,RK,Republic of Korea,RKSS
SBGL,"RIO DE JANEIRO/GALEAO-ANTONIO CARLOS JOBIM,  RJ",-22.81,-43.25055556,SB,Brazil,SBGL
KPIT,PITTSBURGH INTL,40.49141667,-80.23269444,KP,United States,KPIT
ROAH,NAHA,26.19333333,127.6397222,RO,Japan,ROAH
VOMM,CHENNAI INTERNATIONAL,12.995,80.17555556,VO,India,VOMM
WADD,BALI/I GUSTI NGURAH RAI,-8.7475,115.1691667,WA,Indonesia,WADD
EDDK,KOELN/BONN,50.86591667,7.142744444,ED,Germany,EDDK
SCEL,SANTIAGO/AP ARTURO MERINO BENITEZ,-33.39444167,-70.79380278,SC,Chile,SCEL
KSNA,JOHN WAYNE AIRPORT-ORANGE COUNTY,33.67566667,-117.8682222,KS,United States,KSNA
ULLI,SANKT-PETERBURG/PULKOVO,59.80027778,30.2625,UL,Russian Federation,ULLI
LKPR,PRAHA/RUZYNE,50.10083333,14.26,LK,Czechia,LKPR
ZBTJ,TIANJIN/BINHAI,39.12333333,117.345,ZB,China,ZBTJ
KMSY,LOUIS ARMSTRONG NEW ORLEANS INTL,29.99327778,-90.25902778,KM,United States,KMSY
KMCI,KANSAS CITY INTL,39.29761111,-94.71388889,KM,United States,KMCI
KCMH,PORT COLUMBUS INTL,39.99694444,-82.89215833,KC,United States,KCMH
VVNB,HA NOI/NOI BAI INTERNATIONAL,21.22166667,105.8055556,VV,Viet Nam,VVNB
KCLE,CLEVELAND-HOPKINS INTL,41.40941667,-81.85469444,KC,United States,KCLE
LIML,MILANO/LINATE,45.44944444,9.278333333,LI,Italy,LIML
ZJHK,HAIKOU/MEILAN,19.93333333,110.46,ZJ,China,ZJHK
EGGW,LONDON LUTON,51.87472222,-0.368333333,EG,United Kingdom,EGGW
ZUGY,GUIYANG/LONGDONGBAO,26.53666667,106.8,ZU,China,ZUGY
ZYTL,DALIAN/ZHOUSHUIZI,38.96666667,121.54,ZY,China,ZYTL
EDDS,STUTTGART,48.68987778,9.221963889,ED,Germany,EDDS
KPBI,PALM BEACH INTL,26.68316111,-80.09559167,KP,United States,KPBI
LLBG,TEL-AVIV/BEN GURION AIRPORT,32.00944444,34.88555556,LL,Israel,LLBG
EGPH,EDINBURGH,55.95,-3.3725,EG,United Kingdom,EGPH
SABE,AEROPARQUE J. NEWBERY (CABA),-34.55888889,-58.41638889,SA,Argentina,SABE
LFLL,LYON SAINT-EXUPERY,45.72555556,5.081111111,LF,France,LFLL
SBRJ,RIO DE JANEIRO/SANTOS DUMONT  RJ,-22.91,-43.1625,SB,Brazil,SBRJ
LEMG,MALAGA/COSTA DEL SOL,36.675,-4.499166667,LE,Spain,LEMG
WAAA,MAKASSAR/SULTAN HASANUDDIN ,-5.060833333,119.5544444,WA,Indonesia,WAAA
ZYHB,HARBIN/TAIPING,45.625,126.2516667,ZY,China,ZYHB
KMKE,GENERAL MITCHELL INTL,42.94693056,-87.89706389,KM,United States,KMKE
MMMY,MONTERREY,25.77855833,-100.1069861,MM,Mexico,MMMY
VOHS,"RAJIV GANDHI INTERNATIONAL AIRPORT, SHAMSHABAD",17.24055556,78.42888889,VO,India,VOHS
TJSJ,LUIS MUNOZ MARIN INTL,18.43939722,-66.00213333,TJ,United States,TJSJ
KSMF,SACRAMENTO INTL,38.69544444,-121.5907778,KS,United States,KSMF
VECC,"NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL AIRPORT, KOLKATA",22.65396389,88.446725,VE,India,VECC
YPPH,PERTH,-31.940194,115.966881,YP,Australia,YPPH
ZYTX,SHENYANG/TAOXIAN,41.64166667,123.485,ZY,China,ZYTX
EGBB,BIRMINGHAM,52.45388889,-1.748055556,EG,United Kingdom,EGBB
MMGL,GUADALAJARA,20.52183611,-103.3111444,MM,Mexico,MMGL
LTAC,ANKARA/ESENBOGA,40.12805556,32.995,LT,Türkiye,LTAC
GCLP,GRAN CANARIA,27.93194444,-15.38666667,GC,Spain,GCLP
SBKP,"CAMPINAS/VIRACOPOS,SP",-23.00694444,-47.13444444,SB,Brazil,SBKP
LFML,MARSEILLE-PROVENCE,43.43666667,5.215,LF,France,LFML
KHPN,WESTCHESTER COUNTY,41.06695,-73.70756389,KH,United States,KHPN
HKJK,NAIROBI JOMO KENYATTA INTL,-1.319241667,36.927775,HK,Kenya,HKJK
RJGG,CHUBU CENTRAIR INTL,34.85833333,136.8052778,RJ,Japan,RJGG
OOMS,MUSCAT/MUSCAT INTL,23.6002,58.2836,OO,Oman,OOMS
ZSFZ,FUZHOU/CHANGLE,25.93333333,119.665,ZS,China,ZSFZ
LHBP,BUDAPEST LISZT FERENC INTERNATIONAL AIRPORT,47.43944444,19.26194444,LH,Hungary,LHBP
CYWG,"WINNIPEG/JAMES ARMSTRONG RICHARDSON INTL, MB",49.9099,-97.23989722,CY,Canada,CYWG
EGPF,GLASGOW,55.87194444,-4.433055556,EG,United Kingdom,EGPF
OBBI,BAHRAIN INTERNATIONAL,26.270825,50.63365833,OB,Bahrain,OBBI
LFBO,TOULOUSE BLAGNAC,43.635,1.367777778,LF,France,LFBO
RKPK,GIMHAE INTL,35.18055556,128.9380556,RK,Republic of Korea,RKPK
EGLC,LONDON/CITY,51.50527778,0.055277778,EG,United Kingdom,EGLC
KBDL,BRADLEY INTL,41.93913889,-72.68336111,KB,United States,KBDL
LTBJ,IZMIR/ADNAN MENDERES,38.28916667,27.155,LT,Türkiye,LTBJ
CYOW,"OTTAWA/MACDONALD-CARTIER INTL, ON",45.3225,-75.66726944,CY,Canada,CYOW
ZSJN,JINAN/YAOQIANG,36.85833333,117.215,ZS,China,ZSJN
SVMI,"MAIQUETIA, INTL, SIMON BOLIVAR, VARGAS",10.60119444,-66.99122222,SV,Venezuela (Bolivarian Republic of),SVMI
NZWN,WELLINGTON INTL,-41.32722222,174.8052778,NZ,New Zealand,NZWN
MYNN,LYNDEN PINDLING INTL,25.03895833,-77.46623056,MY,Bahamas,MYNN
FACT,CAPE TOWN INTERNATIONAL,-33.97136944,18.60429167,FA,South Africa,FACT
VTSP,PHUKET/PHUKET INTL AIRPORT,8.1125,98.30916667,VT,Thailand,VTSP
SBSV,"SALVADOR/DEPUTADO LUIS EDUARDO MAGALHAES, BA",-12.90861111,-38.3225,SB,Brazil,SBSV
ZGNN,NANNING/WUXU,22.61,108.1733333,ZG,China,ZGNN
GMMN,CASABLANCA/MOHAMMED V,33.36416667,-7.581666667,GM,Morocco,GMMN
YPAD,ADELAIDE,-34.945,138.5305556,YP,Australia,YPAD
KJAX,JACKSONVILLE INTL,30.49404444,-81.68784444,KJ,United States,KJAX
ZBYN,TAIYUAN/WUSU,37.74833333,112.63,ZB,China,ZBYN
ENBR,BERGEN/FLESLAND,60.29361111,5.218055556,EN,Norway,ENBR
HAAB,ADDIS ABABA/BOLE COM/MET/NOF,8.975038889,38.79939722,HA,Ethiopia,HAAB
LIME,BERGAMO/ORIO AL SERIO,45.66888889,9.700277778,LI,Italy,LIME
LFSB,BALE-MULHOUSE,47.59,7.529166667,LF,France,LFSB
KRSW,SOUTHWEST FLORIDA INTL,26.53616667,-81.75516667,KR,United States,KRSW
KABQ,ALBUQUERQUE INTL. SUNPORT,35.03893056,-106.6082611,KA,United States,KABQ
PHOG,KAHULUI,20.89865278,-156.4304528,PH,United States,PHOG
LEAL,ALICANTE/ALICANTE-ELCHE MIGUEL HERNANDEZ,38.28222222,-0.558055556,LE,Spain,LEAL
KOMA,EPPLEY AIRFIELD,41.30316667,-95.89405556,KO,United States,KOMA
EDDB,BERLIN BRANDENBURG,52.36224722,13.50067222,ED,Germany,EDDB
KBUF,BUFFALO NIAGARA INTL,42.94041667,-78.73058333,KB,United States,KBUF
ZBHH,HOHHOT/BAITA,40.84833333,111.8233333,ZB,China,ZBHH
KONT,ONTARIO INTL,34.056,-117.6011944,KO,United States,KONT
WALL,BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,-1.2675,116.8938889,WA,Indonesia,WALL
OEDF,DAMMAM/KING FAHD INTERNATIONAL,26.47111111,49.79777778,OE,Saudi Arabia,OEDF
DAAG,ALGER/HOUARI BOUMEDIENE,36.69444444,3.216944444,DA,Algeria,DAAG
KBUR,BOB HOPE,34.20069444,-118.3586667,KB,United States,KBUR
SBPA,"PORTO ALEGRE/SALGADO FILHO,   RS",-29.99472222,-51.17111111,SB,Brazil,SBPA
LPPR,PORTO,41.23555556,-8.678055556,LP,Portugal,LPPR
KRIC,RICHMOND INTL,37.50518056,-77.31973611,KR,United States,KRIC
OMSJ,SHARJAH INTERNATIONAL,25.32916667,55.51611111,OM,United Arab Emirates,OMSJ
NZCH,CHRISTCHURCH INTL,-43.48944444,172.5344444,NZ,New Zealand,NZCH
KBHM,BIRMINGHAM-SHUTTLESWOTH INTL,33.56388889,-86.75230556,KB,United States,KBHM
ESGG,GOTEBORG/LANDVETTER,57.66,12.29111111,ES,Sweden,ESGG
DNMM,LAGOS/MURTALA MUHAMMED,6.578611111,3.3225,DN,Nigeria,DNMM
OJAI,AMMAN/QUEEN ALIA,31.724125,35.99462222,OJ,Jordan,OJAI
RPVM,MACTAN-CEBU/LAPU-LAPU,10.30756111,123.9794389,RP,Philippines,RPVM
KCHS,CHARLESTON AFB/INTL,32.89864722,-80.04052778,KC,United States,KCHS
WMSA,SUBANG/SULTAN ABDUL AZIZ SHAH,3.132222222,101.5502778,WM,Malaysia,WMSA
EGPD,ABERDEEN/DYCE,57.2025,-2.198055556,EG,United Kingdom,EGPD
SBCT,"CURITIBA/AFONSO PENA, PR",-25.53166667,-49.17611111,SB,Brazil,SBCT
ZLLL,LANZHOU/ZHONGCHUAN,36.515,103.62,ZL,China,ZLLL
UKBB,KYIV/BORYSPIL,50.34472222,30.89333333,UK,Ukraine,UKBB
ZYCC,CHANGCHUN/LONGJIA,43.99833333,125.6883333,ZY,China,ZYCC
EVRA,RIGA,56.92361111,23.97111111,EV,Latvia,EVRA
WMKP,PENANG INTERNATIONAL AIRPORT,5.295555556,100.2722222,WM,Malaysia,WMKP
VNKT,KATHMANDU,27.69714444,85.35792222,VN,Nepal,VNKT
OLBA,RAFFIC HARIRI INTL BEIRUT,33.81905,35.49002778,OL,Lebanon,OLBA
KOKC,WILL ROGER WORLD,35.39307222,-97.60076111,KO,United States,KOKC
SKRG,JOSE MARIA CORDOVA/RIONEGRO,6.164444444,-75.42277778,SK,Colombia,SKRG
ZSCN,NANCHANG/CHANGBEI,28.86333333,115.9,ZS,China,ZSCN
WBKK,KOTA KINABALU INTERNATIONAL,5.931944444,116.0502778,WB,Malaysia,WBKK
LIPE,BOLOGNA/BORGO PANIGALE,44.53083333,11.29694444,LI,Italy,LIPE
MZBZ,PHILIP S W GOLDSON INTL,17.53908611,-88.3082,MZ,Belize,MZBZ
VTCC,CHIANG MAI/CHIANG MAI INTL.  AIRPORT,18.77138889,98.96277778,VT,Thailand,VTCC
EGNX,EAST MIDLANDS,52.83111111,-1.327777778,EG,United Kingdom,EGNX
ZSWZ,WENZHOU/LONGWAN,27.91,120.8533333,ZS,China,ZSWZ
CYTZ,"TORONTO/BILLY BISHOP TORONTO CITY AIRPORT, ON",43.62841389,-79.39620278,CY,Canada,CYTZ
LEIB,IBIZA,38.87277778,1.373055556,LE,Spain,LEIB
EDDP,LEIPZIG/HALLE,51.42399167,12.23638333,ED,Germany,EDDP
LYBE,BEOGRAD/NIKOLA TESLA,44.81938333,20.30706667,LY,Serbia,LYBE
EDDV,HANNOVER,52.46021389,9.683522222,ED,Germany,EDDV
OIII,TEHRAN/MEHRABAD INTL,35.68888889,51.31472222,OI,Iran (Islamic Republic of),OIII
SAEZ,EZEIZA/MINISTRO PISTARINI (BA),-34.82222222,-58.53583333,SA,Argentina,SAEZ
CYHZ,"HALIFAX/STANFIELD INTL, NS",44.87968056,-63.51019167,CY,Canada,CYHZ
ELLX,LUXEMBOURG/LUXEMBOURG,49.62333333,6.204444444,EL,Luxembourg,ELLX
KTUL,TULSA INTL,36.19838889,-95.88811111,KT,United States,KTUL
KBOI,BOISE AIR TERMINAL/GOWEN FLD,43.56436111,-116.2228611,KB,United States,KBOI
EGGD,BRISTOL,51.38277778,-2.719166667,EG,United Kingdom,EGGD
LIRN,NAPOLI/CAPODICHINO,40.88444444,14.29083333,LI,Italy,LIRN
ENZV,STAVANGER/SOLA,58.87666667,5.637777778,EN,Norway,ENZV
LFBD,BORDEAUX-MERIGNAC,44.82861111,-0.715277778,LF,France,LFBD
RJFK,KAGOSHIMA,31.80333333,130.7194444,RJ,Japan,RJFK
KORF,NORFOLK INTL,36.89460278,-76.20122778,KO,United States,KORF
SBRF,"RECIFE/GUARARAPES - GILBERTO FREYRE, PE",-8.126388889,-34.92277778,SB,Brazil,SBRF
VCBI,KATUNAYAKE/BANDARANAIKE INTERNATIONAL AIRPORT COLOMBO,7.180188889,79.8853,VC,Sri Lanka,VCBI
GCTS,TENERIFE SUR,28.04444444,-16.5725,GC,Spain,GCTS
ENVA,TRONDHEIM/VARNES,63.4575,10.92416667,EN,Norway,ENVA
MROC,JUAN SANTAMARIA INTL.,9.993902778,-84.20885556,MR,Costa Rica,MROC
VYYY,YANGON INTERNATIONAL,16.90726667,96.13323889,VY,Myanmar,VYYY
ZSNB,NINGBO/LISHE,29.82666667,121.4633333,ZS,China,ZSNB
LICC,CATANIA/FONTANAROSSA,37.46666667,15.06388889,LI,Italy,LICC
VOCI,"COCHIN INTERNATIONAL AIRPORT, NEDUMBASSERY",10.15353889,76.40722222,VO,India,VOCI
KICT,WICHITA DWIGHT D. EISENHOWER NATIONAL,37.64994444,-97.43305556,KI,United States,KICT
KRNO,RENO/TAHOE INTL,39.49911111,-119.7681111,KR,United States,KRNO
KTUS,TUCSON INTl,32.11606667,-110.9410139,KT,United States,KTUS
KGRR,GERALD R. FORD INTL,42.88083333,-85.52280556,KG,United States,KGRR
KGSO,PIEDMONT TRIAD INTL,36.101325,-79.94112222,KG,United States,KGSO
ZGKL,GUILIN/LIANGJIANG,25.21666667,110.0383333,ZG,China,ZGKL
VMMC,MACAO/INTL AIRPORT,22.14944444,113.5913889,VM,China,VMMC
LFPB,PARIS-LE BOURGET,48.96944444,2.441388889,LF,France,LFPB
LFRS,NANTES ATLANTIQUE,47.15694444,-1.607777778,LF,France,LFRS
KPDK,DEKALB-PEACHTREE,33.87561111,-84.30197222,KP,United States,KPDK
SBFZ,"FORTALEZA/ PINTO MARTINS, CE",-3.775833333,-38.53222222,SB,Brazil,SBFZ
OPKC,KARACHI/JINNAH INTERNATIONAL,24.90855833,67.16276111,OP,Pakistan,OPKC
UAAA,ALMATY,43.35555556,77.04388889,UA,Kazakhstan,UAAA
LIRA,ROMA/CIAMPINO,41.79944444,12.59722222,LI,Italy,LIRA
CYQB,"QUEBEC/JEAN LESAGE INTL, QC",46.79119444,-71.39331111,CY,Canada,CYQB
KDSM,DES MOINES INTL,41.53397222,-93.66306944,KD,United States,KDSM
LEVC,VALENCIA,39.48944444,-0.481666667,LE,Spain,LEVC
KELP,EL PASO INTL,31.80733333,-106.3763611,KE,United States,KELP
